번호,지역,상호,주소,기간,상표,셀프여부,휘발유,경유,year,month,week,high_class
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 02월 3주,SK에너지,일반,1390.86,1292.29,2019,2,3,N
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 02월 4주,SK에너지,일반,1398.0,1290.29,2019,2,4,N
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 03월 1주,SK에너지,일반,1396.57,1295.14,2019,3,1,N
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 03월 2주,SK에너지,일반,1405.14,1289.43,2019,3,2,N
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 03월 3주,SK에너지,일반,1429.43,1293.71,2019,3,3,N
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 03월 4주,SK에너지,일반,1438.0,1322.29,2019,3,4,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 01월 1주,SK에너지,일반,1801.29,1639.86,2019,1,1,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 01월 2주,SK에너지,일반,1702.71,1554.14,2019,1,2,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 01월 3주,SK에너지,일반,1697.0,1547.0,2019,1,3,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 01월 4주,SK에너지,일반,1697.0,1547.0,2019,1,4,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 01월 5주,SK에너지,일반,1697.0,1547.0,2019,1,5,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 02월 1주,SK에너지,일반,1697.0,1547.0,2019,2,1,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 02월 2주,SK에너지,일반,1697.0,1547.0,2019,2,2,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 02월 3주,SK에너지,일반,1697.0,1547.0,2019,2,3,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 02월 4주,SK에너지,일반,1697.0,1547.0,2019,2,4,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 03월 1주,SK에너지,일반,1654.14,1504.14,2019,3,1,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 03월 2주,SK에너지,일반,1647.0,1497.0,2019,3,2,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 03월 3주,SK에너지,일반,1651.29,1499.86,2019,3,3,N
A0000161,서울 강서구,염창동주유소,서울 강서구 양천로 720 (염창동),2019년 03월 4주,SK에너지,일반,1677.0,1517.0,2019,3,4,N
A0000164,서울 마포구,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),2019년 01월 1주,SK에너지,일반,1570.43,1470.43,2019,1,1,N
A0000164,서울 마포구,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),2019년 01월 2주,SK에너지,일반,1553.29,1453.29,2019,1,2,N
A0000164,서울 마포구,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),2019년 01월 3주,SK에너지,일반,1539.0,1439.0,2019,1,3,N
A0000164,서울 마포구,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),2019년 01월 4주,SK에너지,일반,1539.0,1439.0,2019,1,4,N
A0000164,서울 마포구,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),2019년 01월 5주,SK에너지,일반,1539.0,1439.0,2019,1,5,N
A0000164,서울 마포구,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),2019년 02월 1주,SK에너지,일반,1539.0,1439.0,2019,2,1,N
A0000164,서울 마포구,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),2019년 02월 2주,SK에너지,일반,1539.0,1439.0,2019,2,2,N
A0000164,서울 마포구,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),2019년 02월 3주,SK에너지,일반,1539.0,1439.0,2019,2,3,N
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 01월 1주,GS칼텍스,일반,1509.43,1406.57,2019,1,1,Y
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 01월 2주,GS칼텍스,일반,1498.0,1398.0,2019,1,2,Y
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 01월 3주,GS칼텍스,일반,1498.0,1398.0,2019,1,3,Y
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 01월 4주,GS칼텍스,일반,1498.0,1398.0,2019,1,4,Y
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 01월 5주,GS칼텍스,일반,1498.0,1398.0,2019,1,5,Y
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 02월 1주,GS칼텍스,일반,1498.0,1398.0,2019,2,1,Y
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 02월 2주,GS칼텍스,일반,1498.0,1398.0,2019,2,2,Y
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 02월 3주,GS칼텍스,일반,1498.0,1398.0,2019,2,3,Y
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 02월 4주,GS칼텍스,일반,1498.0,1398.0,2019,2,4,Y
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 03월 1주,GS칼텍스,일반,1498.0,1398.0,2019,3,1,Y
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 03월 2주,GS칼텍스,일반,1498.0,1398.0,2019,3,2,Y
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 03월 3주,GS칼텍스,일반,1498.0,1398.0,2019,3,3,Y
A0000212,서울 용산구,용일주유소,서울 용산구 한강대로 37 (한강로3가),2019년 03월 4주,GS칼텍스,일반,1498.0,1398.0,2019,3,4,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 01월 1주,SK에너지,일반,1727.86,1637.14,2019,1,1,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 01월 2주,SK에너지,일반,1725.0,1626.43,2019,1,2,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 01월 3주,SK에너지,일반,1729.0,1629.0,2019,1,3,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 01월 4주,SK에너지,일반,1729.0,1629.0,2019,1,4,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 01월 5주,SK에너지,일반,1729.0,1636.14,2019,1,5,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 02월 1주,SK에너지,일반,1729.0,1639.0,2019,2,1,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 02월 2주,SK에너지,일반,1729.0,1639.0,2019,2,2,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 02월 3주,SK에너지,일반,1743.29,1653.29,2019,2,3,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 02월 4주,SK에너지,일반,1770.43,1680.43,2019,2,4,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 03월 1주,SK에너지,일반,1779.0,1689.0,2019,3,1,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 03월 2주,SK에너지,일반,1790.43,1689.0,2019,3,2,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 03월 3주,SK에너지,일반,1799.0,1696.14,2019,3,3,Y
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,2019년 03월 4주,SK에너지,일반,1799.0,1699.0,2019,3,4,Y
